"accountid","accountcode","accountname","parent","accounttypename","currencyname","recordstatus"
1,"111100","Kas Kecil BBD Plaza","","Kas","Rupiah",1
2,"111200","Kas Besar BBD PLaza","","Kas","Rupiah",1
3,"112110","Giro BRI 1","","Bank","Rupiah",1
4,"112120","Giro BRI 2","","Bank","Rupiah",1
5,"112121","BRI 3","","Bank","Rupiah",1
6,"112122","Giro BRI Mangga Dua 1","","Bank","Rupiah",1
7,"112123","Giro BRI Mangga Dua 2","","Bank","Rupiah",1
8,"112124","BRI Kelapa Gading 3","","Bank","Rupiah",1
9,"112125","BRI Switching","","Bank","Rupiah",1
10,"112126","BRI Syariah","","Bank","Rupiah",1
11,"112130","Giro BRI Valas 1","","Bank","Rupiah",1
12,"112140","Giro BRI Valas 2","","Bank","Rupiah",1
13,"112150","Deposito BRI KCK","","Bank","Rupiah",1
14,"112160","BRI RC MK Konstruksi","","Bank","Rupiah",1
15,"112170","BRI KI","","Bank","Rupiah",1
16,"112180","Bank Agro","","Bank","Rupiah",1
17,"112210","Giro Mandiri","","Bank","Rupiah",1
18,"112211","Bank Mandiri 2","","Bank","Rupiah",1
19,"112310","Giro BCA","","Bank","Rupiah",1
20,"112410","Deposito Bank lain","","Bank","Rupiah",1
21,"112510","Giro BNI","","Bank","Rupiah",1
22,"121000","Surat Berharga","","Surat-surat Berharga","Rupiah",1
23,"131100","Piutang Usaha","","Piutang Dagang","Rupiah",1
24,"131200","Pendapatan masih harus diterima","","Piutang Dagang","Rupiah",1
25,"131250","Cadangan Kerugian Piutang","","Piutang Dagang","Rupiah",1
26,"132020","Piutang Pajak PPh ps 23","","Piutang Pajak","Rupiah",1
27,"132021","Pajak Dibayar Dimuka (PPH 25)","","Piutang Pajak","Rupiah",1
28,"132100","PPN Masukan","","Piutang Pajak","Rupiah",1
29,"132030","Piutang lain-lain","","Piutang Lain-lain","Rupiah",1
30,"133160","Cash Advance","","Piutang Lain-lain","Rupiah",1
31,"141100","Persediaan","","Persediaan","Rupiah",1
32,"151100","Premi asuransi kendaraan","","Biaya dibayar dimuka","Rupiah",1
33,"151200","Premi Asuransi gedung/Kantor","","Biaya dibayar dimuka","Rupiah",1
34,"151300","Premi asuransi peralatan VSAT","","Biaya dibayar dimuka","Rupiah",1
35,"151400","Premi asuransi jaminan pelaksana","","Biaya dibayar dimuka","Rupiah",1
36,"151500","Premi asuransi kesehatan","","Biaya dibayar dimuka","Rupiah",1
37,"152100","Sewa tempat dibayar dimuka","","Biaya dibayar dimuka","Rupiah",1
38,"152200","Service charge dibayar dimuka","","Biaya dibayar dimuka","Rupiah",1
39,"152300","sewa gudang dibayar dimuka","","Biaya dibayar dimuka","Rupiah",1
40,"152400","Sewa transponder di bayar dimuka","","Biaya dibayar dimuka","Rupiah",1
41,"152500","Maintenance peralatan dibayar dimuka","","Biaya dibayar dimuka","Rupiah",1
42,"152600","Biaya pengadaan Critical spare dibayar dimuka","","Biaya dibayar dimuka","Rupiah",1
