"wagetypeid","wagename","ispph","ispayroll","isprint","percentage","maxvalue","currency","recordstatus"
"1","Gaji Pokok","1","1","1","0","0","Rupiah","1"
"2","Tunjangan Jabatan","1","1","1","0","0","Rupiah","1"
"3","Tunjangan Makan","1","1","1","0","0","Rupiah","1"
"4","Tunjangan Transportasi","1","1","1","0","0","Rupiah","1"
"5","Tunjangan Khusus","1","1","1","0","0","Rupiah","1"
"6","Tunjangan Telepon","1","1","1","0","0","Rupiah","1"
"7","Lembur","1","1","1","0","0","Rupiah","1"
"8","Tunjangan Peralihan","1","1","1","0","0","Rupiah","1"
"9","Jamsostek JHT oleh Perusahaan","1","1","1","3.7","0","Rupiah","1"
"10","Jamsostek JHT oleh Karyawan","1","1","1","2","0","Rupiah","1"
"11","Jamsostek JK oleh Perusahaan","1","1","1","0.3","0","Rupiah","1"
"12","Jamsostek JKK oleh Perusahaan","1","1","1","0.24","0","Rupiah","1"
"13","Jamsostek JPK Lajang oleh Perusahaan","1","1","1","3","30000","Rupiah","1"
"14","Jamsostek JPK Keluarga oleh Perusahaan","1","1","1","6","60000","Rupiah","1"
"15","DPLK yang ditanggung oleh Perusahaan","1","1","1","3","0","Rupiah","1"
"16","DPLK yang ditanggung oleh karyawan","1","1","1","2","0","Rupiah","1"
"17","Tunjangan Cuti Tahunan","1","1","1","0","0","Rupiah","1"
"18","Tunjangan Cuti Besar","1","1","1","0","0","Rupiah","1"
"19","Opsi Jual Cuti Besar","1","1","1","0","0","Rupiah","1"
"20","Premi Asuransi ditanggung oleh Perusahaan","1","0","0","0","0","Rupiah","1"
"21","Post Service Liabilities (PSL)","1","1","1","0","0","Rupiah","1"
"22","Komisi","1","1","1","0","0","Rupiah","1"
