"educationid","educationname","recordstatus"
1,"Akademi Teknik Telekomunikasi Shandy Putra",1
2,"AMIK Bina Sarana Informatika",1
3,"Institut Keguruan & Ilmu Pendidikan",1
4,"Institut Sains & Teknologi Nasional",1
5,"Institut Teknologi Bandung",1
6,"IT Telkom Bandung",1
7,"Madrasah Aliyah",1
8,"Politeknik Manufaktur ASTRA",1
9,"Politeknik Negeri Jakarta",1
10,"Politeknik Negeri Semarang",1
11,"Poltek ITB",1
12,"SMA Dharma Putra Pati",1
13,"SMA Pelita 3 Jakarta Timur",1
14,"SMA Teratai Putih Bekasi",1
15,"SMAN 2 Sumedang ",1
16,"SMK Negeri 1 Cimahi",1
17,"SMK Negeri 29 Jakarta",1
18,"SMK Negeri 5 Jakarta",1
19,"SMK Yadika 2 ",1
20,"STEMIK Nusa Mandiri",1
21,"STMIK Bandung",1
22,"Unisbank Semarang",1
23,"Univ. Mustopo (Beragama)",1
24,"Universitas Andalas",1
25,"Universitas Atmajaya",1
26,"Universitas Budi Luhur",1
27,"Universitas Eka Unggul",1
28,"Universitas Gajah Mada",1
29,"Universitas Gunadarma",1
30,"Universitas Indonesia",1
31,"Universitas Indonusa Esa Unggul",1
32,"Universitas Islam Indonesia",1
33,"Universitas Krisnadwipayana",1
34,"Universitas Mercu Buana",1
35,"Universitas Negeri Malang",1
36,"Universitas Padjajaran",1
37,"Universitas Persada Indonesia YAI",1
38,"Universitas Sriwijaya",1
39,"Universitas Terbuka",1
40,"Universitas Trisakti",1
41,"UPN Veteran",1
42,"Yarpri",1
