levelorgid,levelorgname,recordstatus
1,Kepala Divisi,1
2,Kepala Bagian,1
3,Staf Ahli Direksi,1
4,Supervisor,1
5,Staf,1
6,Engineer,1
7,Teknisi,1
8,Operator,1
9,Pelaksana,1
10,Pratama 1-1,1
11,Pratama 1-2,1
12,Pratama 1-3,1
13,Pratama 1-4,1
14,Pratama 1-5,1
15,Pratama 2-1,1
16,Pratama 2-2,1
17,Pratama 2-3,1
18,Pratama 2-4,1
19,Pratama 2-5,1
20,Muda 1-1,1
21,Muda 1-2,1
22,Muda 1-3,1
23,Muda 1-4,1
24,Muda 1-5,1
25,Muda 2-1,1
26,Muda 2-2,1
27,Muda 2-3,1
28,Muda 2-4,1
29,Muda 2-5,1
30,Muda 3-1,1
31,Muda 3-2,1
32,Muda 3-3,1
33,Muda 3-4,1
34,Muda 3-5,1
35,Muda 4-1,1
36,Muda 4-2,1
37,Muda 4-3,1
38,Muda 4-4,1
39,Muda 4-5,1
40,Madya 1-1,1
41,Madya 1-2,1
42,Madya 1-3,1
43,Madya 1-4,1
44,Madya 1-5,1
45,Madya 2-1,1
46,Madya 2-2,1
47,Madya 2-3,1
48,Madya 2-4,1
49,Madya 2-5,1
50,Madya 3-1,1
51,Madya 3-2,1
52,Madya 3-3,1
53,Madya 3-4,1
54,Madya 3-5,1
55,Madya 4-1,1
56,Madya 4-2,1
57,Madya 4-3,1
58,Madya 4-4,1
59,Madya 4-5,1
60,Utama 1-1,1
61,Utama 1-2,1
62,Utama 1-3,1
63,Utama 1-4,1
64,Utama 1-5,1
65,Utama 2-1,1
66,Utama 2-2,1
67,Utama 2-3,1
68,Utama 2-4,1
69,Utama 2-5,1
70,Utama 3-1,1
71,Utama 3-2,1
72,Utama 3-3,1
73,Utama 3-4,1
74,Utama 3-5,1
75,Utama 4-1,1
76,Utama 4-2,1
77,Utama 4-3,1
78,Utama 4-4,1
79,Utama 4-5,1
