"Organization Structure ID","Structure Name","Parent","Record Status"
1,"RUPS",,1
2,"KOMISARIS","RUPS",1
3,"DIREKSI","RUPS",1
4,"DIREKTUR UTAMA","RUPS",1
6,"Staf Ahli Direksi","DIREKSI",1
7,"DIREKTUR KEUANGAN","DIREKTUR UTAMA",1
8,"DIREKTUR OPERASIONAL","DIREKTUR UTAMA",1
9,"DIVISI UMUM","DIREKTUR KEUANGAN",1
10,"DIVISI KEUANGAN","DIREKTUR KEUANGAN",1
11,"DIVISI BISNIS","DIREKTUR OPERASIONAL",1
12,"DIVISI OPERASIONAL","DIREKTUR OPERASIONAL",1
13,"DIVISI PENGEMBANGAN","DIREKTUR OPERASIONAL",1
14,"BAGIAN LOGISTIK","DIVISI UMUM",1
15,"BAGIAN SUMBER DAYA MANUSIA","DIVISI UMUM",1
16,"BAGIAN MANAJEMEN KEUANGAN","DIVISI KEUANGAN",1
17,"BAGIAN AKUNTANSI & PERPAJAKAN","DIVISI KEUANGAN",1
18,"STAF PEMASARAN","DIVISI BISNIS",1
19,"PENJUALAN JASA NILAI TAMBAH","DIVISI BISNIS",1
20,"PENJUALAN JASA JARINGAN","DIVISI BISNIS",1
21,"OPERASIONAL JARINGAN PELANGGAN","DIVISI OPERASIONAL",1
22,"MANAJEMEN PRODUKSI JARINGAN","DIVISI OPERASIONAL",1
23,"OPERASIONAL JASA NILAI TAMBAH","DIVISI OPERASIONAL",1
24,"PUSAT OPERASIONAL JARINGAN","DIVISI OPERASIONAL",1
25,"PENGEMBANGAN SISTEM DAN JASA NILAI TAMBAH","DIVISI PENGEMBANGAN",1
26,"PENGEMBANGAN INFRASTRUKTUR DAN JARINGAN","DIVISI PENGEMBANGAN",1
28,"BAGIAN LOGISTIK & SUMBER DAYA MANUSIA","DIVISI KEUANGAN",1
29,"BAGIAN AKP DAN MAU","DIVISI KEUANGAN",1
30,"BAGIAN MANAJEMEN DAN KEUANGAN","BAGIAN AKP DAN MAU",1
31,"BAGIAN AKUNTANSI DAN PERPAJAKAN","BAGIAN AKP DAN MAU",1
