productid,productname,productpic,recordstatus
1,Attenuator FC/PC 15 dB     ,,1
2,Attenuator FC/PC 10 dB     ,,1
3,Balhead FC Coupling  BL FC   ,,1
4,Bracket Dead End  BDE   ,,1
5,Bracket Suspension  BS   ,,1
6,Bracket Suspension Karet  BSK   ,,1
7,Buldog Creap   BC   ,,1
8,Bracket Dead End Buaya   BDE - B   ,,1
9,Cable Ties @ 10 Cm  CT 10   Sigma,,1
10,Cable Ties @ 15 Cm  CT 15   Sigma,,1
11,Cable Ties @ 20 Cm  CT 20   Sigma,,1
12,Cable Ties @ 25 Cm  CT 25   Sigma,,1
13,Cable Ties @ 30 Cm  CT 30   Sigma,,1
14,Cable Ties Label   CT L   ,,1
15,Cassette 12 Core  CS - 12   ,,1
16,Cassette 24 Core  CS - 24   ,,1
17,Cassette 36 Core  CS - 36   ,,1
18,"Cable 24 Core, SM     Datwayler ",,1
19,"Flexible PVC 1""   FLX - 1 WHT   ",,1
20,"Flexible PVC 3/4""  FLX - 3/4 WHT   ",,1
21,Gantry Box  GBX   ,,1
22,Join Box / Join Clousure 12 C  JB CH 12   Channel,,1
23,Join Box / Join Clousure 24 C  JB CH 24   Channel,,1
24,Join Box / Join Clousure 48 C  JB CH 48   Channel,,1
25,Join Box / Join Clousure 96 C  JB CH 96   Channel,,1
26,Join Box / Join Clousure 96 C  JB 3M 96   3M,,1
27,Dome Closure 12 Core   JB D 12   Taiko ,,1
28,Dome Closure 24 Core   JB D 24   Taiko ,,1
29,Dome Closure 48 Core   JB D 48   Taiko ,,1
30,Dome Closure 24 Core   JB D 24   NWC,,1
31,Dome Closure 48 Core   JB D 48   NWC,,1
32,Dome Closure 96 Core   JB D 96   NWC,,1
33,Join Box In Line / Join Closure In Line 12 C  JB IL 12   3M,,1
34,Join Box In Line / Join Closure In Line 12 C  JB IL 12   Core ,,1
35,Join Box In Line / Join Closure In Line 24 C  JB IL 24   3M,,1
